title,album,attribution,members,release_date,bpm,duration
Zensoku Dreamer,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2020.11.04,175,4:19
Dream with You,Anime Season 1,Ayumu Uehara,Ayumu Uehara,2020.11.18,136,4:19
Poppin' Up!,Anime Season 1,Kasumi Nakasu,Kasumi Nakasu,2020.11.18,215,4:19
DIVE!,Anime Season 1,Setsuna Yuki,Setsuna Yuki,2020.11.18,180,4:04
Saikou Heart,Anime Season 1,Ai Miyashita,Ai Miyashita,2020.12.02,160,4:13
La Bella Patria,Anime Season 1,Emma Verde,Emma Verde,2020.12.02,185,4:47
Tsunagaru Connect,Anime Season 1,Rina Tennoji,Rina Tennoji,2020.12.02,175,3:58
Butterfly,Anime Season 1,Kanata Konoe,Kanata Konoe,2020.12.16,155,3:37
Solitude Rain,Anime Season 1,Shizuku Osaka,Shizuku Osaka,2020.12.16,158,4:07
VIVID WORLD,Anime Season 1,Karin Asaka,Karin Asaka,2020.12.16,128,4:36
Awakening Promise,Anime Season 1,Ayumu Uehara,Ayumu Uehara,2021.01.13,146,4:13
Yume ga Koko Kara Hajimaru yo,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2021.01.13,128,4:43
Colorful Dreams! Colorful Smiles!,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.20,185,4:24
Twilight,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.20,128,4:14
Yume ga Bokura no Taiyou sa,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.27,127,4:26
Ryouran! Victory Road,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.04.27,135,4:01
Eutopia,Anime Season 2,Lanzhu Zhong,Lanzhu Zhong,2022.06.22,128,4:09
EMOTION,Anime Season 2,Shioriko Mifune,Shioriko Mifune,2022.06.22,170,3:50
stars we chase,Anime Season 2,Mia Taylor,Mia Taylor,2022.06.22,115,3:13
Future Parade,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.07.27,144,4:36
Level Oops! Adventures,Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.07.27,180,3:31
Eien no Isshun,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.12,93,4:57
OUR P13CES!!!,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.12,176,4:33
Hurray Hurray (12 Members Ver.),AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.12,150,4:33
Wachu Gonna Do,Nijiyon,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.02.01,160,3:30
KAGAYAKI Don't forget!,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.07,175,4:16
Sugar Sugar Yummy Yummy Parfait,AllStars Singles,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.07,164,3:50
Feel Alive,OVA,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.06.28,76,3:19
Go Our Way!,OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.06.28,160,2:45
"SINGING, DREAMING, NOW!",OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.05,127,5:25
Wawawa*What's up!,OVA,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2023.07.05,182,3:53
LIVE with a smile!,LIVE with a smile! Collab,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.11.03,155,5:13
Miracle STAY TUNE!,LIVE with a smile! Collab,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.11.24,158,4:51
Ijigen BIGBANG,IM@S Collab,Ayumu Uehara,Ayumu Uehara,2023.12.06,,
SUPER NOVA,SUPER NOVA,DiverDiva,"Karin Asaka, Ai Miyashita",2020.02.12,128,4:13
Love Triangle,SUPER NOVA,DiverDiva,"Karin Asaka, Ai Miyashita",2020.02.12,190,4:13
THE SECRET NiGHT,THE SECRET NiGHT,DiverDiva,"Karin Asaka, Ai Miyashita",2021.05.26,126,3:53
Fly into the sky,THE SECRET NiGHT,DiverDiva,"Karin Asaka, Ai Miyashita",2021.05.26,90,4:09
Eternal Light,Anime Season 2,DiverDiva,"Karin Asaka, Ai Miyashita",2022.05.25,178,4:06
Koisuru Magic!!,Anime Season 2,DiverDiva,"Karin Asaka, Ai Miyashita",2022.05.25,150,3:48
Shadow Effect,Shadow Effect,DiverDiva,"Karin Asaka, Ai Miyashita",2022.10.05,128,3:56
Kiss the Sun,Shadow Effect,DiverDiva,"Karin Asaka, Ai Miyashita",2022.10.05,106,4:21
Dream Land! Dream World!,Dream Land! Dream World!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2020.02.12,211,3:51
Cheer for you!!,Dream Land! Dream World!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2020.02.12,151,3:39
Maze Town,Maze Town,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.06.16,135,
Folklore ~Kanki no Uta~,Maze Town,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.06.16,108,
Infinity! Our wings!!,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.06.08,180,4:31
Poker face & Onegai! Fairy,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.06.08,115,4:47
Blue!,Blue!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.11.02,122,4:34
Dancing in the Light,Blue!,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.11.02,130,4:29
Sing & Smile!!,Sing & Smile!!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2020.02.12,135,4:41
Beautiful Moonlight,Sing & Smile!!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2020.02.12,116,3:58
Swinging!,Swinging!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.07.14,128,4:03
Not Sad,Swinging!,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.07.14,110,4:17
ENJOY IT!,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.05.11,120,4:13
4 SEASONS,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.05.11,117,3:48
PASTEL,PASTEL,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.11.23,138,3:51
Michi no Saki,PASTEL,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.11.23,84,4:01
MONSTER GIRLS,MONSTER GIRLS,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2021.10.06,130,3:56
Aoi Canaria,MONSTER GIRLS,Shioriko Mifune,Shioriko Mifune,2021.10.06,178,3:49
I'm Still...,MONSTER GIRLS,Mia Taylor,Mia Taylor,2021.10.06,90,4:06
Queendom,MONSTER GIRLS,Lanzhu Zhong,Lanzhu Zhong,2021.10.06,105,3:59
Vroom Vroom,Vroom Vroom,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,137,3:36
Bubble Over!,Vroom Vroom,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,164,3:06
POWER SPOT!!,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2020.12.24,130,3:59
Kakushiaji!,Anime Season 1,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.01.27,182,4:01
Make-up sesson ABC,Anime Season 1,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.02.25,111,4:13
Saika -saika-,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2021.03.26,100,4:17
Happy Nyan! Days,Anime Season 1,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2021.04.27,160,3:53
Twinkle Town,Anime Season 1,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2021.05.26,103,4:15
Hurray Hurray,Anime Season 1,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2021.06.25,150,4:34
Fashionista,Anime Season 1,DiverDiva,"Karin Asaka, Ai Miyashita",2022.06.24,115,3:20
Fuwa Fuwa Hour!,Anime Season 2,QU4RTZ,"Kasumi Nakasu, Kanata Konoe, Emma Verde, Rina Tennoji",2022.07.27,118,4:28
Romance no Naka de,Anime Season 2,AZUNA,"Ayumu Uehara, Shizuku Osaka, Setsuna Yuki",2022.08.26,72,4:23
Look at me now,Anime Season 2,R3BIRTH,"Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.09.28,134,3:12
TOKIMEKI Runners (12 Members Ver.),Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.10.28,180,4:48
Love U my friends (12 Members Ver.),Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.11.25,170,3:59
Just Believe!!! (12 Members Ver.),Anime Season 2,Nijigasaki (12 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji, Shioriko Mifune, Mia Taylor, Lanzhu Zhong",2022.12.23,186,4:05
Waku Waku! Monday Morning,OVA,Nijigasaki First-Years,"Kasumi Nakasu, Shizuku Osaka, Rina Tennoji, Shioriko Mifune",2023.08.30,165,3:09
